genre,artist,play_count,total_minutes,subgenre
Pop,ABBA,34,16.9,Pop
Pop,AYN,9,15.4,Pop
Pop,Allie X,17,33.3,Pop
Pop,Ariana Grande,844,2147.3,Pop
Pop,Backstreet Boys,67,204.2,Pop
Pop,Ben Platt,93,246.9,Pop
Pop,Beyoncé,14,23.6,Pop
Pop,Billie Eilish,2150,5181.7,Pop
Pop,Britney Spears,89,213.3,Pop
Pop,Bruno Mars,64,180.6,Pop
Pop,Dead Or Alive,15,46.1,Pop
Pop,Dua Lipa,98,253.1,Pop
Pop,Ed Sheeran,1068,2834.4,Pop
Pop,Ellie Goulding,16,40.1,Pop
Pop,FINNEAS,854,2182.3,Pop
Pop,George Michael,37,108.2,Pop
Pop,Halsey,8,14.2,Pop
Pop,James Bay,562,1461.6,Pop
Pop,Katy Perry,66,182.9,Pop
Pop,Lady Gaga,92,232.4,Pop
Pop,Lana Del Rey,263,913.8,Pop
Pop,Lorde,513,1313.0,Pop
Pop,Mark Ronson,13,45.1,Pop
Pop,Michael Jackson,739,2468.1,Pop
Pop,Miley Cyrus,691,1911.7,Pop
Pop,Nessa Barrett,48,95.8,Pop
Pop,Nick Jonas,8,8.8,Pop
Pop,Paul Young,5,3.4,Pop
Pop,Pet Shop Boys,12,28.6,Pop
Pop,Rick Astley,98,281.7,Pop
Pop,Rihanna,45,106.3,Pop
Pop,Savage Garden,7,23.2,Pop
Pop,Taylor Swift,909,2660.9,Pop
Pop,Tears For Fears,18,70.7,Pop
Pop,The Cardigans,9,33.2,Pop
Pop,The Smiths,18,48.8,Pop
Pop,VÉRITÉ,11,22.2,Pop
Rock,Avril Lavigne,74,160.6,Pop Rock
Rock,Bastille,53,145.1,Pop Rock
Rock,Boyce Avenue,155,323.7,Pop Rock
Rock,Coldplay,177,675.1,Pop Rock
Rock,Fall Out Boy,110,326.3,Pop Rock
Rock,Imagine Dragons,2319,5429.4,Pop Rock
Rock,Maroon 5,3322,10355.7,Pop Rock
Rock,OneRepublic,61,187.3,Pop Rock
Rock,Panic! At The Disco,549,1335.2,Pop Rock
Rock,Paramore,64,174.4,Pop Rock
Rock,Robbie Williams,930,3074.0,Pop Rock
Rock,The Script,32,89.2,Pop Rock
Rock,Twenty One Pilots,151,441.2,Pop Rock
Rock,X Ambassadors,227,541.4,Pop Rock
Post-Hardcore,Circa Survive,22,52.3,Post-Hardcore
Post-Hardcore,Famous Last Words,17,42.4,Post-Hardcore
Post-Hardcore,VersaEmerge,35,31.6,Post-Hardcore
Post-Rock,Klimt 1918,56,102.5,Post-Rock
Metal,Blind Guardian,13,43.6,Power Metal
Metal,Rhapsody Of Fire,7,23.5,Power Metal
Metal,Sonata Arctica,2150,5503.1,Power Metal
Metal,Stratovarius,79,229.7,Power Metal
Metal,Van Canto,5,8.4,Power Metal
Metal,Dream Theater,1642,7177.6,Progressive Metal
Metal,Haken,437,1853.4,Progressive Metal
Metal,Klone,6,20.2,Progressive Metal
Metal,Leprous,2847,11579.1,Progressive Metal
Metal,Nevermore,14,34.8,Progressive Metal
Metal,Opeth,1204,4109.9,Progressive Metal
Metal,Scale The Summit,19,70.7,Progressive Metal
Rock,Genesis,574,2136.8,Progressive Rock
Rock,Gentle Giant,132,206.0,Progressive Rock
Rock,Peter Gabriel,55,209.0,Progressive Rock
Rock,Pink Floyd,1051,3088.7,Progressive Rock
Rock,Porcupine Tree,2053,7523.9,Progressive Rock
Rock,Rush,238,819.0,Progressive Rock
Rock,Steven Wilson,917,3346.0,Progressive Rock
Rock,Thank You Scientist,52,188.6,Progressive Rock
Rock,The Dear Hunter,827,2315.0,Progressive Rock
Rock,The Pineapple Thief,2393,8717.1,Progressive Rock
