artist,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Lacuna Coil,0.0,0.0,11.0,37.0,53.0,66.0,76.0,76.0,76.0,77.0,78.0,78.0,78.0
Lady Gaga,14.0,27.0,31.0,39.0,41.0,50.0,99.0,119.0,121.0,130.0,135.0,142.0,146.0
Lamb of God,0.0,0.0,13.0,45.0,66.0,170.0,179.0,184.0,184.0,184.0,188.0,188.0,188.0
Lana Del Rey,33.0,81.0,85.0,194.0,194.0,278.0,433.0,450.0,452.0,496.0,516.0,543.0,547.0
Led eppelin,14.0,144.0,176.0,211.0,216.0,228.0,238.0,269.0,271.0,277.0,279.0,293.0,315.0
Lenny Kravit,170.0,418.0,446.0,471.0,528.0,641.0,750.0,825.0,844.0,873.0,938.0,955.0,955.0
Leprous,0.0,0.0,2.0,47.0,638.0,1582.0,1930.0,2332.0,2427.0,2631.0,3143.0,4575.0,4664.0
Les Friction,0.0,0.0,178.0,360.0,419.0,464.0,484.0,504.0,507.0,507.0,515.0,516.0,516.0
Lewis Capaldi,0.0,0.0,0.0,0.0,2.0,127.0,328.0,454.0,473.0,485.0,495.0,495.0,496.0
Limp Bikit,0.0,7.0,18.0,42.0,44.0,47.0,47.0,49.0,49.0,51.0,53.0,56.0,56.0
Linkin Park,0.0,80.0,315.0,552.0,568.0,660.0,775.0,802.0,923.0,1113.0,1309.0,1354.0,1354.0
Lionel Richie,3.0,3.0,4.0,60.0,60.0,61.0,61.0,61.0,61.0,62.0,62.0,62.0,62.0
Liquid Tension Experiment,0.0,3.0,10.0,24.0,27.0,76.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0
Lisandro Aristimuño,0.0,2.0,3.0,22.0,23.0,24.0,24.0,26.0,26.0,32.0,51.0,51.0,51.0
Liy McAlpine,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,46.0,53.0,53.0,53.0
London Grammar,2.0,2.0,2.0,4.0,15.0,45.0,46.0,61.0,61.0,61.0,61.0,61.0,61.0
Lorde,55.0,157.0,183.0,664.0,770.0,940.0,1056.0,1145.0,1154.0,1208.0,1224.0,1237.0,1237.0
Lorne Balfe,0.0,1.0,38.0,43.0,51.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
Los Fabulosos Cadillacs,24.0,42.0,50.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,56.0,56.0,56.0
Los Nombradores del Alba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,51.0,51.0
Los Rodrigue,10.0,54.0,55.0,60.0,60.0,60.0,60.0,60.0,60.0,62.0,62.0,63.0,63.0
Lower Definition,0.0,0.0,0.0,0.0,19.0,52.0,60.0,64.0,64.0,66.0,66.0,67.0,67.0
Ludovico Einaudi,1.0,8.0,9.0,9.0,9.0,10.0,40.0,48.0,50.0,52.0,52.0,52.0,52.0
Ludwig van Beethoven,5.0,6.0,6.0,7.0,8.0,40.0,73.0,74.0,74.0,75.0,75.0,75.0,75.0
Luis Alberto Spinetta,0.0,0.0,1.0,22.0,24.0,24.0,24.0,25.0,59.0,75.0,75.0,75.0,75.0
Lunatic Soul,0.0,14.0,29.0,79.0,126.0,213.0,240.0,264.0,274.0,292.0,309.0,313.0,313.0
Luther Vandross,0.0,18.0,41.0,57.0,57.0,57.0,57.0,57.0,57.0,58.0,58.0,58.0,59.0
MGMT,0.0,0.0,7.0,48.0,55.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0
MIKA,33.0,56.0,57.0,58.0,58.0,59.0,61.0,61.0,69.0,69.0,69.0,69.0,69.0
Machine Head,0.0,0.0,1.0,3.0,24.0,66.0,68.0,69.0,69.0,69.0,69.0,69.0,69.0
Madonna,20.0,35.0,36.0,49.0,50.0,76.0,76.0,76.0,77.0,79.0,80.0,81.0,81.0
Maná,0.0,83.0,93.0,99.0,99.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
Marilina Bertoldi,0.0,0.0,2.0,28.0,93.0,118.0,118.0,121.0,127.0,139.0,142.0,143.0,143.0
Marillion,0.0,4.0,10.0,47.0,50.0,54.0,63.0,149.0,186.0,199.0,202.0,206.0,207.0
Marilyn Manson,4.0,17.0,46.0,204.0,253.0,508.0,518.0,560.0,568.0,598.0,607.0,607.0,607.0
Maroon 5,1563.0,4311.0,5372.0,5699.0,5774.0,6198.0,6327.0,6358.0,6387.0,6411.0,6419.0,6445.0,6445.0
Marty Friedman,0.0,0.0,2.0,3.0,162.0,166.0,196.0,198.0,198.0,198.0,199.0,205.0,205.0
Massacre,0.0,1.0,1.0,93.0,97.0,97.0,97.0,98.0,98.0,98.0,98.0,98.0,98.0
Massive Attack,1.0,1.0,4.0,17.0,29.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,52.0
Mastodon,0.0,23.0,26.0,30.0,38.0,53.0,61.0,62.0,62.0,62.0,63.0,69.0,69.0
Max Richter,1.0,9.0,14.0,73.0,105.0,138.0,279.0,286.0,286.0,286.0,286.0,287.0,287.0
Megadeth,1.0,10.0,176.0,392.0,443.0,668.0,711.0,747.0,772.0,792.0,803.0,838.0,838.0
Mercedes Sosa,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,50.0,50.0,50.0
Metallica,1.0,45.0,124.0,265.0,371.0,590.0,679.0,755.0,780.0,858.0,954.0,972.0,972.0
Michael Angelo Batio,0.0,0.0,10.0,10.0,10.0,11.0,11.0,85.0,115.0,121.0,131.0,131.0,131.0
Michael Jackson,376.0,1018.0,1100.0,1198.0,1203.0,1224.0,1304.0,1340.0,1340.0,1345.0,1359.0,1377.0,1377.0
Mike Massé,0.0,4.0,68.0,92.0,97.0,100.0,186.0,299.0,483.0,484.0,497.0,498.0,498.0
Miley Cyrus,103.0,372.0,528.0,575.0,578.0,639.0,866.0,929.0,933.0,1142.0,1286.0,1418.0,1442.0
Mudvayne,0.0,1.0,2.0,9.0,9.0,32.0,33.0,33.0,40.0,55.0,98.0,100.0,100.0
Muse,1557.0,2671.0,3266.0,4037.0,4243.0,5031.0,5311.0,5472.0,5553.0,5633.0,5782.0,5823.0,5823.0
My Chemical Romance,16.0,44.0,207.0,215.0,218.0,229.0,246.0,253.0,277.0,311.0,348.0,351.0,351.0
NOFX,0.0,0.0,0.0,68.0,69.0,70.0,72.0,74.0,74.0,74.0,75.0,77.0,77.0
Nada Surf,0.0,0.0,115.0,213.0,218.0,223.0,292.0,309.0,337.0,338.0,355.0,356.0,356.0
Nessa Barrett,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,77.0,77.0,77.0
New Order,0.0,3.0,5.0,27.0,37.0,65.0,65.0,65.0,65.0,67.0,67.0,67.0,67.0
Nickelback,68.0,217.0,322.0,335.0,354.0,392.0,393.0,394.0,395.0,395.0,417.0,417.0,417.0
Nightwish,0.0,5.0,32.0,183.0,293.0,519.0,778.0,1012.0,1112.0,1164.0,1255.0,1268.0,1268.0
Nina Tribus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,46.0,47.0,55.0,56.0,56.0
Nine Inch Nails,0.0,1.0,5.0,116.0,342.0,609.0,679.0,765.0,765.0,784.0,820.0,823.0,823.0
Nirvana,7.0,20.0,96.0,266.0,276.0,416.0,563.0,626.0,656.0,722.0,806.0,810.0,810.0
No Doubt,0.0,0.0,0.0,5.0,5.0,6.0,6.0,8.0,8.0,17.0,48.0,51.0,51.0
No Te Va Gustar,3.0,266.0,310.0,314.0,315.0,322.0,322.0,322.0,336.0,336.0,344.0,344.0,344.0
No-Man,0.0,0.0,2.0,30.0,31.0,43.0,45.0,45.0,45.0,49.0,54.0,54.0,54.0
Northern Kings,4.0,4.0,25.0,43.0,53.0,65.0,125.0,126.0,129.0,129.0,129.0,130.0,130.0
Nothing But Thieves,1.0,1.0,1.0,18.0,19.0,21.0,28.0,34.0,36.0,45.0,51.0,51.0,51.0
Oasis,2.0,40.0,51.0,128.0,153.0,166.0,177.0,186.0,186.0,199.0,389.0,393.0,393.0
Of Monsters and Men,1.0,1.0,16.0,75.0,84.0,106.0,120.0,122.0,122.0,122.0,122.0,122.0,122.0
One Direction,20.0,38.0,43.0,53.0,53.0,63.0,63.0,67.0,67.0,68.0,68.0,68.0,68.0
One Less Reason,0.0,6.0,40.0,43.0,45.0,47.0,52.0,53.0,53.0,54.0,54.0,55.0,55.0
OneRepublic,1.0,46.0,78.0,88.0,88.0,110.0,112.0,118.0,119.0,148.0,150.0,152.0,152.0
Opeth,1.0,58.0,436.0,992.0,1140.0,1560.0,1744.0,1844.0,1870.0,1876.0,1962.0,1980.0,1980.0
Otep,0.0,0.0,0.0,10.0,28.0,66.0,71.0,71.0,71.0,72.0,72.0,72.0,72.0
Oy Osbourne,2.0,11.0,21.0,38.0,80.0,113.0,169.0,176.0,204.0,246.0,250.0,271.0,271.0
P!nk,6.0,9.0,11.0,63.0,63.0,67.0,68.0,70.0,70.0,71.0,71.0,75.0,75.0
Pain of Salvation,0.0,18.0,22.0,40.0,87.0,182.0,501.0,588.0,708.0,805.0,848.0,934.0,938.0
Panic! At The Disco,0.0,48.0,319.0,528.0,600.0,694.0,780.0,800.0,803.0,893.0,1006.0,1010.0,1010.0
Pantera,0.0,0.0,2.0,13.0,18.0,103.0,109.0,110.0,110.0,110.0,123.0,123.0,123.0
Papa Roach,0.0,40.0,82.0,89.0,105.0,127.0,139.0,142.0,146.0,151.0,160.0,160.0,160.0
Paramore,35.0,38.0,65.0,98.0,99.0,103.0,109.0,119.0,122.0,143.0,144.0,147.0,147.0
Patricio Rey y sus Redonditos de Ricota,0.0,1.0,15.0,197.0,205.0,227.0,227.0,232.0,232.0,236.0,248.0,250.0,250.0
Pearl Jam,0.0,30.0,65.0,86.0,126.0,188.0,258.0,288.0,308.0,320.0,428.0,432.0,432.0
Periphery,0.0,0.0,24.0,147.0,159.0,175.0,182.0,182.0,188.0,188.0,262.0,264.0,264.0
Peter Gabriel,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,48.0,48.0,51.0,58.0,58.0
Pharrell Williams,30.0,109.0,134.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0,135.0
Phil Collins,1.0,19.0,27.0,29.0,29.0,30.0,31.0,43.0,49.0,52.0,55.0,80.0,82.0
Picture This,0.0,0.0,0.0,0.0,0.0,16.0,84.0,89.0,89.0,89.0,89.0,89.0,89.0
Pink Floyd,431.0,684.0,1178.0,1557.0,1610.0,1774.0,1794.0,1968.0,2083.0,2131.0,2188.0,2198.0,2200.0
Placebo,0.0,35.0,110.0,479.0,546.0,645.0,677.0,713.0,720.0,727.0,744.0,748.0,748.0
Plini,0.0,0.0,0.0,8.0,17.0,20.0,20.0,21.0,21.0,25.0,35.0,79.0,79.0
Poets of the Fall,77.0,273.0,741.0,870.0,921.0,1056.0,1138.0,1166.0,1166.0,1183.0,1229.0,1231.0,1231.0
Polyphia,0.0,1.0,1.0,5.0,5.0,7.0,7.0,7.0,7.0,10.0,48.0,52.0,52.0
Porcupine Tree,0.0,623.0,1038.0,2035.0,2351.0,3045.0,3367.0,3622.0,3786.0,3833.0,3972.0,4032.0,4032.0
Pork,0.0,6.0,21.0,27.0,44.0,122.0,178.0,262.0,362.0,436.0,493.0,498.0,498.0
Prince,0.0,6.0,11.0,26.0,37.0,41.0,41.0,41.0,42.0,42.0,52.0,52.0,53.0
Puddle Of Mudd,0.0,9.0,17.0,19.0,20.0,50.0,52.0,52.0,52.0,52.0,56.0,56.0,56.0
Queen,202.0,1200.0,1671.0,1903.0,2029.0,2138.0,2152.0,2332.0,2435.0,2471.0,2507.0,2529.0,2530.0
Queens of the Stone Age,39.0,39.0,42.0,93.0,106.0,163.0,168.0,171.0,183.0,204.0,244.0,248.0,248.0
Queensrÿche,0.0,1.0,9.0,20.0,21.0,55.0,63.0,64.0,65.0,65.0,65.0,67.0,67.0
R.E.M.,12.0,61.0,82.0,121.0,127.0,143.0,157.0,162.0,163.0,177.0,190.0,215.0,215.0
RPWL,0.0,22.0,48.0,64.0,65.0,76.0,81.0,85.0,85.0,86.0,89.0,97.0,97.0
Radiohead,1.0,5.0,24.0,537.0,586.0,1012.0,1160.0,1181.0,1188.0,1225.0,1275.0,1276.0,1276.0
Ramin Djawadi,0.0,0.0,3.0,3.0,3.0,75.0,85.0,90.0,90.0,90.0,90.0,90.0,90.0
Rammstein,21.0,70.0,407.0,599.0,675.0,953.0,982.0,990.0,1047.0,1067.0,1067.0,1075.0,1075.0
Ramones,0.0,1.0,1.0,251.0,308.0,313.0,314.0,314.0,314.0,314.0,315.0,444.0,444.0
Rata Blanca,4.0,14.0,52.0,58.0,59.0,59.0,59.0,59.0,59.0,59.0,68.0,68.0,68.0
ReVamp,0.0,9.0,16.0,50.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
Red,0.0,0.0,5.0,49.0,50.0,71.0,80.0,82.0,82.0,82.0,82.0,82.0,82.0
Red Hot Chili Peppers,69.0,199.0,308.0,369.0,403.0,418.0,512.0,581.0,593.0,762.0,808.0,840.0,840.0
Ricardo Arjona,54.0,75.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0
Rick Astley,0.0,85.0,99.0,126.0,145.0,146.0,147.0,154.0,178.0,178.0,197.0,200.0,200.0
Rihanna,1.0,17.0,43.0,88.0,89.0,96.0,99.0,100.0,107.0,109.0,113.0,118.0,119.0
Rise Against,0.0,3.0,21.0,55.0,55.0,59.0,60.0,61.0,61.0,61.0,62.0,62.0,62.0
Rishloo,0.0,0.0,4.0,20.0,55.0,111.0,125.0,128.0,132.0,132.0,132.0,140.0,140.0
Riverside,0.0,72.0,179.0,455.0,543.0,758.0,883.0,912.0,952.0,976.0,993.0,1011.0,1011.0
Rob ombie,1.0,1.0,1.0,16.0,25.0,54.0,56.0,56.0,56.0,56.0,62.0,62.0,62.0
Robbie Williams,146.0,586.0,951.0,1013.0,1063.0,1080.0,1385.0,1457.0,1630.0,1667.0,1674.0,1678.0,1678.0
Royal Bliss,0.0,1.0,20.0,28.0,30.0,37.0,46.0,68.0,73.0,80.0,80.0,80.0,80.0
Royal Blood,0.0,0.0,3.0,21.0,31.0,40.0,41.0,70.0,71.0,84.0,87.0,87.0,87.0
Rush,9.0,158.0,169.0,377.0,440.0,499.0,506.0,507.0,515.0,515.0,517.0,518.0,518.0
Russian Circles,0.0,0.0,23.0,42.0,42.0,62.0,66.0,69.0,69.0,69.0,69.0,69.0,69.0
SICK PUPPIES,0.0,54.0,60.0,61.0,65.0,70.0,73.0,73.0,73.0,76.0,78.0,78.0,78.0
STEELHEART,0.0,13.0,37.0,59.0,63.0,65.0,66.0,66.0,66.0,66.0,80.0,81.0,81.0
SYML,0.0,0.0,0.0,0.0,14.0,43.0,76.0,84.0,85.0,88.0,96.0,99.0,99.0
Saliva,0.0,12.0,42.0,42.0,50.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0,129.0
Saving Abel,0.0,8.0,30.0,34.0,38.0,55.0,62.0,67.0,67.0,67.0,67.0,67.0,67.0
Scorpions,143.0,611.0,795.0,820.0,836.0,909.0,981.0,989.0,997.0,1008.0,1016.0,1017.0,1017.0
Seafret,0.0,1.0,1.0,25.0,46.0,77.0,98.0,106.0,107.0,115.0,116.0,118.0,118.0
Seether,0.0,46.0,151.0,289.0,352.0,448.0,463.0,470.0,470.0,471.0,471.0,474.0,474.0
Selena Gome,4.0,8.0,26.0,31.0,31.0,47.0,79.0,81.0,81.0,82.0,82.0,82.0,82.0
Serenity,0.0,0.0,23.0,67.0,80.0,91.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
Serj Tankian,0.0,4.0,5.0,17.0,61.0,102.0,102.0,102.0,102.0,102.0,103.0,104.0,104.0
Serú Girán,30.0,38.0,38.0,86.0,103.0,125.0,125.0,133.0,136.0,145.0,151.0,151.0,151.0
Sevendust,0.0,0.0,4.0,9.0,35.0,100.0,108.0,108.0,108.0,108.0,108.0,108.0,108.0
Seventh Wonder,0.0,0.0,18.0,33.0,38.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
Shakira,27.0,49.0,50.0,63.0,65.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
Shawn Mendes,0.0,0.0,0.0,10.0,19.0,29.0,46.0,51.0,63.0,65.0,65.0,65.0,65.0
Shinedown,40.0,1395.0,3847.0,4191.0,4485.0,5443.0,5667.0,5882.0,6020.0,6131.0,6259.0,6274.0,6274.0
Sia,2.0,12.0,29.0,51.0,55.0,373.0,431.0,456.0,463.0,464.0,472.0,480.0,485.0
Sieges Even,0.0,0.0,31.0,50.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,59.0,59.0
Silverchair,0.0,0.0,6.0,20.0,35.0,51.0,52.0,52.0,52.0,52.0,53.0,53.0,53.0
Simple Minds,0.0,1.0,11.0,15.0,23.0,42.0,45.0,63.0,73.0,75.0,76.0,76.0,76.0
Skid Row,7.0,49.0,270.0,339.0,372.0,481.0,538.0,668.0,714.0,769.0,886.0,891.0,891.0
Skillet,0.0,31.0,78.0,84.0,88.0,89.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0
Skrillex,8.0,14.0,14.0,37.0,57.0,94.0,105.0,106.0,106.0,106.0,106.0,106.0,106.0
Slipknot,0.0,3.0,8.0,68.0,89.0,145.0,168.0,241.0,241.0,378.0,483.0,484.0,484.0
Smile Empty Soul,0.0,1.0,16.0,18.0,29.0,53.0,53.0,54.0,54.0,54.0,54.0,54.0,54.0
Snow Patrol,0.0,1.0,3.0,35.0,36.0,47.0,59.0,66.0,66.0,66.0,66.0,66.0,66.0
Soda Stereo,67.0,238.0,260.0,592.0,700.0,720.0,721.0,757.0,777.0,799.0,818.0,818.0,818.0
Soen,0.0,4.0,28.0,266.0,365.0,637.0,776.0,852.0,893.0,986.0,1050.0,1132.0,1134.0
Soft Cell,0.0,4.0,5.0,10.0,20.0,42.0,42.0,44.0,44.0,54.0,59.0,59.0,59.0
Sonata Arctica,12.0,67.0,1431.0,1992.0,2483.0,3140.0,3638.0,3754.0,3958.0,4025.0,4195.0,4212.0,4307.0
Soundgarden,31.0,31.0,32.0,45.0,108.0,219.0,242.0,248.0,248.0,266.0,285.0,303.0,303.0
Spandau Ballet,0.0,7.0,8.0,12.0,30.0,65.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0
Spock's Beard,0.0,0.0,7.0,14.0,18.0,48.0,51.0,51.0,51.0,51.0,51.0,53.0,53.0
Spor,0.0,0.0,0.0,33.0,51.0,51.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0
Staind,0.0,23.0,40.0,86.0,94.0,119.0,123.0,130.0,130.0,130.0,131.0,131.0,131.0
Steve Vai,29.0,30.0,40.0,52.0,52.0,71.0,104.0,122.0,137.0,192.0,194.0,199.0,199.0
Steven Wilson,0.0,0.0,15.0,1019.0,1479.0,2026.0,2302.0,2449.0,2493.0,2537.0,2588.0,2636.0,2636.0
Sting,42.0,45.0,107.0,130.0,132.0,147.0,159.0,207.0,219.0,225.0,237.0,254.0,256.0
Stone Sour,0.0,35.0,105.0,134.0,167.0,277.0,347.0,360.0,363.0,403.0,445.0,446.0,446.0
Stone Temple Pilots,0.0,0.0,6.0,11.0,12.0,76.0,87.0,100.0,100.0,110.0,120.0,125.0,125.0
Stratovarius,0.0,1.0,23.0,44.0,44.0,79.0,80.0,80.0,108.0,120.0,136.0,136.0,157.0
Stream of Passion,0.0,0.0,1.0,58.0,87.0,104.0,104.0,104.0,104.0,104.0,121.0,121.0,121.0
Sui Generis,0.0,1.0,1.0,38.0,43.0,52.0,52.0,52.0,52.0,60.0,105.0,105.0,105.0
Sum 41,4.0,16.0,246.0,515.0,580.0,636.0,789.0,809.0,834.0,847.0,855.0,855.0,855.0
Sumo,0.0,10.0,36.0,45.0,50.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0
Survivor,4.0,4.0,5.0,15.0,15.0,15.0,15.0,15.0,76.0,85.0,97.0,101.0,101.0
Sylvan,0.0,4.0,83.0,125.0,181.0,313.0,344.0,351.0,356.0,369.0,385.0,391.0,391.0
Symphony X,0.0,0.0,14.0,43.0,50.0,107.0,114.0,114.0,115.0,115.0,115.0,116.0,116.0
System Of A Down,0.0,6.0,194.0,234.0,243.0,371.0,398.0,408.0,409.0,479.0,509.0,517.0,517.0
TOOL,0.0,0.0,0.0,0.0,0.0,93.0,93.0,113.0,126.0,149.0,160.0,174.0,174.0
TOTO,0.0,16.0,61.0,85.0,91.0,124.0,132.0,209.0,233.0,243.0,257.0,270.0,272.0
Take That,0.0,2.0,4.0,4.0,52.0,56.0,56.0,56.0,56.0,66.0,66.0,66.0,66.0
Talk Talk,0.0,0.0,0.0,4.0,23.0,70.0,70.0,70.0,70.0,70.0,70.0,74.0,74.0
Tan Bionica,1.0,91.0,91.0,91.0,92.0,94.0,94.0,94.0,94.0,94.0,95.0,95.0,95.0
Tarja,0.0,10.0,19.0,27.0,36.0,48.0,50.0,51.0,51.0,52.0,52.0,52.0,52.0
Tarot,0.0,4.0,9.0,12.0,12.0,13.0,20.0,20.0,36.0,36.0,44.0,44.0,54.0
Tash Sultana,0.0,0.0,0.0,0.0,22.0,41.0,43.0,69.0,69.0,69.0,70.0,70.0,70.0
Taylor Swift,0.0,3.0,3.0,15.0,18.0,113.0,634.0,1197.0,1300.0,1497.0,1879.0,1950.0,1963.0
Tears For Fears,0.0,4.0,10.0,144.0,240.0,303.0,309.0,328.0,404.0,415.0,455.0,477.0,477.0
Temple Of The Dog,0.0,0.0,3.0,6.0,8.0,43.0,51.0,53.0,53.0,60.0,69.0,73.0,73.0
TesseracT,0.0,0.0,0.0,65.0,158.0,223.0,228.0,228.0,230.0,230.0,237.0,240.0,245.0
Thank You Scientist,0.0,0.0,0.0,42.0,68.0,73.0,121.0,122.0,122.0,122.0,122.0,122.0,122.0
The 1975,0.0,1.0,88.0,118.0,121.0,128.0,138.0,145.0,145.0,147.0,147.0,154.0,154.0
The Algorithm,0.0,0.0,0.0,41.0,41.0,53.0,53.0,55.0,55.0,55.0,55.0,55.0,55.0
The Beatles,9.0,22.0,38.0,181.0,192.0,211.0,251.0,323.0,343.0,355.0,361.0,365.0,365.0
The Black Keys,0.0,0.0,5.0,37.0,47.0,50.0,52.0,56.0,56.0,65.0,74.0,75.0,75.0
The Cardigans,0.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,6.0,18.0,122.0,143.0,143.0
The Civil Wars,0.0,1.0,1.0,30.0,38.0,56.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
The Contortionist,0.0,0.0,0.0,58.0,109.0,167.0,191.0,194.0,195.0,195.0,197.0,198.0,198.0
The Cure,0.0,19.0,25.0,106.0,113.0,134.0,143.0,145.0,145.0,151.0,161.0,173.0,173.0
The Dear Hunter,0.0,0.0,0.0,617.0,917.0,1268.0,1563.0,1582.0,1582.0,1590.0,1617.0,1623.0,1623.0
The Killers,26.0,41.0,122.0,175.0,188.0,217.0,230.0,243.0,245.0,257.0,270.0,272.0,272.0
The Kooks,2.0,6.0,11.0,71.0,77.0,80.0,81.0,83.0,84.0,85.0,85.0,85.0,85.0
The Last Shadow Puppets,0.0,0.0,0.0,36.0,40.0,91.0,91.0,92.0,92.0,98.0,99.0,99.0,99.0
The Lonely Island,0.0,0.0,49.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0
The Mars Volta,0.0,6.0,8.0,56.0,60.0,66.0,67.0,73.0,73.0,73.0,73.0,73.0,73.0
The Mayan Factor,0.0,0.0,72.0,120.0,138.0,157.0,160.0,164.0,164.0,165.0,165.0,165.0,165.0
The Neighbourhood,0.0,0.0,4.0,26.0,28.0,33.0,43.0,61.0,63.0,64.0,65.0,71.0,71.0
The Offspring,0.0,22.0,33.0,147.0,148.0,168.0,174.0,179.0,185.0,195.0,217.0,217.0,217.0
The Pineapple Thief,0.0,28.0,276.0,1268.0,1868.0,2858.0,3142.0,3710.0,3821.0,3941.0,4107.0,4176.0,4176.0
The Police,201.0,415.0,801.0,924.0,941.0,953.0,976.0,1117.0,1155.0,1185.0,1206.0,1235.0,1235.0
The Pretty Reckless,56.0,56.0,71.0,86.0,108.0,108.0,112.0,146.0,148.0,293.0,306.0,310.0,310.0
The Rasmus,23.0,79.0,1054.0,1653.0,1936.0,2177.0,2426.0,2638.0,2702.0,2901.0,2921.0,2927.0,2927.0
The Rolling Stones,36.0,47.0,79.0,174.0,177.0,185.0,189.0,222.0,246.0,250.0,256.0,262.0,262.0
The Script,0.0,17.0,34.0,44.0,44.0,52.0,69.0,72.0,72.0,72.0,72.0,72.0,72.0
The Smashing Pumpkins,0.0,0.0,24.0,135.0,137.0,196.0,201.0,205.0,205.0,206.0,208.0,209.0,209.0
The Smiths,3.0,7.0,7.0,299.0,315.0,373.0,391.0,411.0,413.0,415.0,416.0,418.0,418.0
The Spiritual Machines,0.0,0.0,0.0,103.0,133.0,158.0,171.0,172.0,172.0,172.0,172.0,172.0,172.0
The Strokes,14.0,33.0,42.0,81.0,90.0,100.0,101.0,105.0,105.0,110.0,115.0,115.0,115.0
The Third Ending,0.0,0.0,225.0,300.0,316.0,349.0,352.0,354.0,354.0,354.0,354.0,355.0,355.0
The Verve,1.0,5.0,9.0,55.0,62.0,74.0,77.0,78.0,78.0,78.0,78.0,82.0,82.0
The Weeknd,0.0,11.0,12.0,68.0,207.0,259.0,291.0,303.0,305.0,343.0,371.0,374.0,374.0
The White Stripes,14.0,22.0,24.0,83.0,87.0,117.0,122.0,123.0,123.0,123.0,123.0,123.0,123.0
The xx,33.0,50.0,56.0,61.0,61.0,61.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Theory of a Deadman,0.0,133.0,219.0,225.0,244.0,285.0,295.0,295.0,295.0,296.0,296.0,296.0,296.0
Therion,0.0,9.0,16.0,24.0,45.0,73.0,77.0,77.0,79.0,79.0,79.0,79.0,79.0
Thirty Seconds To Mars,274.0,626.0,2471.0,2961.0,3274.0,3557.0,3724.0,3839.0,3874.0,3948.0,4043.0,4068.0,4068.0
Thomas Bergersen,30.0,55.0,248.0,293.0,297.0,355.0,378.0,378.0,389.0,391.0,391.0,392.0,392.0
Thornley,0.0,0.0,28.0,42.0,49.0,53.0,57.0,57.0,57.0,57.0,58.0,58.0,58.0
Three Days Grace,0.0,165.0,407.0,446.0,476.0,557.0,574.0,576.0,578.0,578.0,578.0,578.0,578.0
Tokio Hotel,0.0,0.0,66.0,75.0,81.0,105.0,141.0,142.0,142.0,142.0,143.0,143.0,143.0
Tom Odell,0.0,0.0,0.0,294.0,384.0,514.0,588.0,621.0,624.0,647.0,651.0,653.0,653.0
Tom Walker,0.0,0.0,0.0,0.0,0.0,1.0,60.0,95.0,95.0,96.0,96.0,96.0,96.0
Tomorrow's Eve,0.0,0.0,25.0,36.0,42.0,42.0,49.0,49.0,49.0,49.0,69.0,69.0,69.0
Train,0.0,6.0,34.0,44.0,46.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
Trapt,0.0,27.0,67.0,72.0,73.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0
Travis,0.0,2.0,2.0,22.0,23.0,31.0,34.0,37.0,54.0,55.0,76.0,89.0,89.0
Trivium,1.0,1.0,1.0,45.0,53.0,99.0,104.0,119.0,119.0,119.0,125.0,125.0,125.0
Troye Sivan,1.0,1.0,1.0,3.0,11.0,24.0,38.0,52.0,52.0,52.0,53.0,53.0,54.0
Twenty One Pilots,0.0,0.0,78.0,195.0,202.0,212.0,214.0,235.0,235.0,277.0,409.0,412.0,412.0
