artist,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Avril Lavigne,8.0,24.0,25.0,64.0,64.0,69.0,69.0,77.0,89.0,90.0,108.0,108.0,108.0
Ayreon,0.0,1.0,13.0,92.0,123.0,174.0,177.0,179.0,179.0,179.0,179.0,179.0,179.0
Babasonicos,1.0,19.0,25.0,62.0,114.0,147.0,147.0,147.0,147.0,172.0,179.0,185.0,185.0
Backstreet Boys,52.0,92.0,108.0,142.0,142.0,143.0,150.0,156.0,156.0,156.0,159.0,159.0,159.0
Barco,0.0,0.0,0.0,85.0,85.0,85.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0
Bastille,1.0,2.0,16.0,35.0,37.0,57.0,59.0,93.0,93.0,93.0,96.0,99.0,99.0
Bear McCreary,0.0,0.0,50.0,50.0,50.0,78.0,80.0,85.0,85.0,85.0,85.0,85.0,85.0
Ben Howard,1.0,1.0,1.0,57.0,75.0,93.0,107.0,110.0,110.0,110.0,110.0,110.0,110.0
Ben Platt,0.0,0.0,0.0,0.0,0.0,0.0,66.0,113.0,114.0,114.0,114.0,114.0,114.0
Bersuit Vergarabat,17.0,126.0,127.0,146.0,174.0,188.0,188.0,188.0,188.0,194.0,204.0,239.0,239.0
Between The Buried And Me,0.0,2.0,12.0,42.0,49.0,60.0,63.0,65.0,65.0,65.0,65.0,65.0,65.0
Biffy Clyro,0.0,0.0,12.0,12.0,12.0,20.0,40.0,59.0,60.0,60.0,60.0,60.0,60.0
Big Big Train,0.0,0.0,5.0,8.0,33.0,89.0,119.0,120.0,120.0,120.0,120.0,120.0,120.0
Billie Eilish,0.0,0.0,0.0,2.0,2.0,4.0,511.0,2553.0,3147.0,3735.0,3997.0,4265.0,4266.0
Billy Idol,0.0,0.0,2.0,5.0,14.0,41.0,41.0,44.0,45.0,56.0,58.0,74.0,76.0
Birdy,1.0,12.0,13.0,30.0,36.0,48.0,59.0,77.0,79.0,79.0,79.0,81.0,81.0
Black Label Society,0.0,0.0,5.0,6.0,12.0,40.0,44.0,45.0,45.0,47.0,51.0,51.0,51.0
Black Sabbath,0.0,7.0,10.0,18.0,30.0,68.0,70.0,71.0,71.0,79.0,85.0,90.0,90.0
Blackfield,0.0,20.0,49.0,285.0,671.0,836.0,956.0,1022.0,1102.0,1144.0,1168.0,1179.0,1179.0
Blacktop Mojo,0.0,0.0,0.0,0.0,0.0,0.0,17.0,53.0,56.0,60.0,71.0,71.0,71.0
Blind Melon,0.0,0.0,588.0,789.0,858.0,1030.0,1094.0,1171.0,1175.0,1203.0,1204.0,1218.0,1218.0
Blur,0.0,7.0,12.0,82.0,88.0,108.0,114.0,115.0,115.0,122.0,127.0,127.0,127.0
Bon Jovi,41.0,320.0,471.0,509.0,510.0,522.0,547.0,614.0,649.0,681.0,725.0,733.0,734.0
Box Car Racer,8.0,9.0,19.0,45.0,50.0,51.0,51.0,55.0,56.0,56.0,62.0,62.0,62.0
Boyce Avenue,0.0,1.0,2.0,43.0,46.0,49.0,180.0,266.0,269.0,273.0,273.0,274.0,274.0
Breaking Benjamin,0.0,35.0,59.0,62.0,72.0,116.0,136.0,141.0,142.0,143.0,143.0,143.0,143.0
Breed 77,0.0,0.0,33.0,52.0,53.0,57.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0
Britney Spears,16.0,83.0,110.0,149.0,149.0,166.0,169.0,183.0,195.0,195.0,202.0,204.0,204.0
Bruno Mars,1.0,41.0,55.0,67.0,78.0,80.0,80.0,80.0,80.0,80.0,83.0,93.0,93.0
Bryan Adams,3.0,11.0,14.0,17.0,17.0,17.0,19.0,112.0,146.0,160.0,190.0,194.0,194.0
Bullet For My Valentine,0.0,1.0,4.0,45.0,48.0,72.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0
Bush,1.0,1.0,8.0,8.0,27.0,61.0,64.0,69.0,69.0,70.0,71.0,71.0,71.0
Cage The Elephant,0.0,2.0,18.0,135.0,139.0,148.0,150.0,154.0,155.0,155.0,157.0,157.0,157.0
Caligula's Horse,0.0,0.0,0.0,18.0,69.0,199.0,210.0,211.0,230.0,232.0,241.0,255.0,255.0
Camila Cabello,0.0,0.0,0.0,5.0,5.0,25.0,85.0,96.0,98.0,102.0,103.0,106.0,106.0
Carajo,3.0,4.0,37.0,205.0,223.0,384.0,396.0,408.0,408.0,430.0,430.0,431.0,431.0
Catupecu Machu,0.0,110.0,158.0,268.0,286.0,299.0,299.0,337.0,339.0,339.0,340.0,340.0,340.0
Chaqueño Palavecino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,68.0,70.0,70.0
Charly García,0.0,15.0,32.0,158.0,192.0,213.0,224.0,229.0,235.0,291.0,325.0,325.0,325.0
Chet Faker,0.0,0.0,0.0,10.0,24.0,61.0,66.0,136.0,156.0,168.0,168.0,168.0,168.0
Chevelle,0.0,22.0,52.0,56.0,90.0,133.0,134.0,135.0,135.0,142.0,144.0,144.0,144.0
Children Of Bodom,0.0,0.0,40.0,78.0,142.0,190.0,206.0,285.0,285.0,295.0,310.0,310.0,310.0
Chon,0.0,0.0,0.0,77.0,78.0,95.0,96.0,96.0,96.0,96.0,101.0,115.0,115.0
Chris Cornell,18.0,34.0,121.0,240.0,432.0,681.0,876.0,1028.0,1050.0,1215.0,1325.0,1351.0,1351.0
Cigarettes After Sex,0.0,0.0,0.0,51.0,60.0,64.0,68.0,77.0,77.0,78.0,78.0,92.0,92.0
Circa Survive,0.0,1.0,17.0,60.0,68.0,75.0,79.0,82.0,82.0,82.0,82.0,82.0,82.0
Claude Debussy,2.0,6.0,6.0,6.0,7.0,63.0,78.0,81.0,81.0,81.0,81.0,83.0,83.0
Closure in Moscow,0.0,0.0,0.0,1.0,336.0,449.0,534.0,547.0,547.0,564.0,565.0,567.0,567.0
Coldplay,17.0,62.0,232.0,243.0,246.0,249.0,271.0,288.0,290.0,300.0,352.0,363.0,363.0
Daft Punk,45.0,73.0,99.0,162.0,162.0,162.0,162.0,183.0,192.0,193.0,193.0,205.0,205.0
Danny Elfman,0.0,0.0,76.0,79.0,80.0,91.0,97.0,103.0,103.0,103.0,103.0,103.0,103.0
Dario Marianelli,0.0,2.0,16.0,16.0,16.0,32.0,203.0,246.0,249.0,249.0,258.0,259.0,259.0
David Bowie,7.0,22.0,69.0,95.0,101.0,106.0,119.0,124.0,124.0,125.0,128.0,129.0,129.0
Dead By Sunrise,0.0,0.0,48.0,77.0,86.0,138.0,148.0,149.0,149.0,149.0,149.0,149.0,149.0
Dead Or Alive,0.0,3.0,6.0,13.0,27.0,52.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
Deep Purple,3.0,9.0,12.0,41.0,52.0,82.0,87.0,88.0,95.0,97.0,99.0,112.0,112.0
Default,0.0,8.0,32.0,37.0,43.0,49.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
Deftones,7.0,7.0,11.0,38.0,43.0,89.0,121.0,139.0,139.0,158.0,166.0,170.0,170.0
Delain,0.0,46.0,46.0,49.0,51.0,58.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0
Demians,0.0,18.0,82.0,136.0,144.0,163.0,169.0,177.0,177.0,178.0,181.0,181.0,181.0
Depeche Mode,24.0,125.0,180.0,255.0,281.0,692.0,700.0,752.0,755.0,834.0,838.0,976.0,976.0
Destiny Potato,0.0,0.0,0.0,129.0,164.0,208.0,211.0,212.0,212.0,214.0,218.0,219.0,219.0
Device,0.0,0.0,6.0,15.0,27.0,49.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
Devin Townsend Project,0.0,1.0,2.0,45.0,72.0,108.0,114.0,114.0,114.0,114.0,114.0,115.0,115.0
Digital Summer,0.0,0.0,23.0,40.0,44.0,49.0,51.0,55.0,55.0,55.0,56.0,57.0,57.0
Dire Straits,1.0,14.0,28.0,34.0,35.0,39.0,40.0,46.0,46.0,47.0,52.0,66.0,70.0
Disturbed,0.0,38.0,62.0,65.0,67.0,76.0,91.0,92.0,92.0,92.0,100.0,100.0,100.0
Divididos,24.0,79.0,118.0,132.0,160.0,186.0,186.0,186.0,186.0,187.0,201.0,201.0,201.0
Djelmash,0.0,0.0,0.0,0.0,24.0,45.0,57.0,61.0,61.0,61.0,61.0,61.0,61.0
Dream Theater,10.0,67.0,513.0,1167.0,1402.0,2055.0,2398.0,2672.0,2831.0,2919.0,3182.0,3419.0,3419.0
Dua Lipa,0.0,0.0,0.0,8.0,8.0,18.0,20.0,22.0,22.0,162.0,217.0,232.0,233.0
Duran Duran,21.0,38.0,53.0,105.0,127.0,158.0,161.0,166.0,166.0,182.0,196.0,253.0,253.0
Eagles,12.0,20.0,43.0,53.0,55.0,61.0,62.0,71.0,71.0,77.0,80.0,80.0,80.0
Earthside,0.0,0.0,1.0,22.0,34.0,54.0,56.0,56.0,56.0,56.0,57.0,62.0,63.0
Ed Sheeran,1.0,163.0,254.0,1306.0,1463.0,1740.0,1905.0,2085.0,2093.0,2114.0,2116.0,2118.0,2118.0
El Cuarteto De Nos,0.0,1.0,2.0,16.0,42.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0
El Mató a un Policía Motoriado,0.0,0.0,0.0,164.0,188.0,204.0,204.0,204.0,204.0,210.0,214.0,218.0,218.0
Electric Light Orchestra,0.0,1.0,2.0,3.0,3.0,3.0,4.0,4.0,53.0,54.0,54.0,55.0,55.0
Ellie Goulding,2.0,28.0,61.0,64.0,66.0,87.0,90.0,90.0,90.0,90.0,90.0,91.0,91.0
Elliott Smith,0.0,0.0,0.0,100.0,117.0,162.0,175.0,175.0,175.0,175.0,177.0,177.0,177.0
Elton John,13.0,15.0,17.0,20.0,20.0,21.0,23.0,27.0,29.0,33.0,55.0,60.0,61.0
Eminem,4.0,16.0,60.0,108.0,122.0,134.0,135.0,138.0,138.0,728.0,802.0,804.0,804.0
Emmanuel Horvilleur,0.0,0.0,0.0,1.0,26.0,44.0,45.0,49.0,50.0,53.0,53.0,53.0,53.0
Epica,0.0,7.0,32.0,308.0,364.0,437.0,442.0,457.0,458.0,460.0,460.0,460.0,460.0
Eric Clapton,24.0,34.0,113.0,125.0,130.0,134.0,140.0,154.0,163.0,183.0,188.0,199.0,199.0
Eruca Sativa,0.0,57.0,182.0,415.0,522.0,619.0,620.0,621.0,631.0,634.0,635.0,636.0,636.0
Europe,1.0,12.0,21.0,34.0,34.0,36.0,37.0,37.0,70.0,71.0,75.0,78.0,79.0
Eurythmics,0.0,4.0,20.0,49.0,51.0,62.0,63.0,64.0,66.0,72.0,92.0,92.0,92.0
Evanescence,0.0,14.0,102.0,143.0,154.0,157.0,221.0,240.0,240.0,264.0,271.0,275.0,275.0
Extreme,0.0,0.0,29.0,39.0,41.0,46.0,51.0,57.0,57.0,57.0,57.0,58.0,58.0
FINNEAS,0.0,0.0,0.0,0.0,0.0,1.0,74.0,1327.0,1551.0,1852.0,1962.0,1994.0,1994.0
Facundo Toro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,62.0,62.0
Faith No More,0.0,0.0,1.0,25.0,27.0,40.0,40.0,40.0,40.0,47.0,51.0,53.0,53.0
Fall Out Boy,0.0,51.0,243.0,282.0,288.0,301.0,309.0,327.0,327.0,349.0,371.0,371.0,371.0
Famous Last Words,0.0,0.0,40.0,45.0,48.0,48.0,49.0,49.0,49.0,49.0,49.0,50.0,50.0
Fito Pae,20.0,113.0,161.0,679.0,991.0,1520.0,1739.0,2127.0,2244.0,2494.0,2803.0,2838.0,2838.0
Five Finger Death Punch,0.0,0.0,2.0,9.0,38.0,48.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
Flying Colors,0.0,0.0,0.0,9.0,10.0,61.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
Flyleaf,0.0,3.0,53.0,59.0,60.0,78.0,79.0,79.0,79.0,92.0,93.0,93.0,93.0
Foals,0.0,4.0,11.0,42.0,48.0,58.0,58.0,60.0,60.0,60.0,60.0,60.0,60.0
Foo Fighters,82.0,112.0,232.0,275.0,285.0,326.0,344.0,357.0,359.0,383.0,410.0,414.0,414.0
Foster The People,0.0,2.0,27.0,57.0,64.0,69.0,72.0,73.0,73.0,73.0,78.0,78.0,78.0
Framing Hanley,0.0,22.0,54.0,64.0,69.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0
Fran Ferdinand,44.0,47.0,54.0,78.0,80.0,81.0,81.0,82.0,82.0,85.0,93.0,93.0,93.0
Frank Sinatra,24.0,47.0,58.0,83.0,89.0,101.0,102.0,111.0,111.0,111.0,111.0,114.0,114.0
Frank Turner,0.0,0.0,0.0,35.0,40.0,46.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0
Frédéric Chopin,9.0,19.0,19.0,52.0,122.0,576.0,796.0,850.0,1240.0,1294.0,1354.0,1401.0,1401.0
Fuel,0.0,17.0,25.0,30.0,44.0,113.0,119.0,127.0,127.0,127.0,127.0,127.0,127.0
Gabrielle Aplin,0.0,7.0,7.0,13.0,23.0,44.0,55.0,58.0,58.0,58.0,58.0,58.0,58.0
Gapacho,0.0,2.0,115.0,293.0,341.0,490.0,510.0,513.0,525.0,533.0,537.0,537.0,537.0
Genesis,12.0,51.0,55.0,212.0,218.0,238.0,252.0,532.0,1009.0,1047.0,1071.0,1104.0,1104.0
Gentle Giant,0.0,0.0,0.0,163.0,187.0,252.0,255.0,270.0,270.0,270.0,270.0,270.0,270.0
George Michael,0.0,23.0,26.0,84.0,98.0,123.0,126.0,128.0,133.0,134.0,134.0,136.0,136.0
Ghost,0.0,0.0,0.0,289.0,471.0,625.0,851.0,911.0,995.0,1049.0,1101.0,1166.0,1166.0
Ghost Brigade,0.0,0.0,33.0,48.0,49.0,60.0,63.0,66.0,66.0,66.0,66.0,68.0,68.0
Globus,0.0,39.0,83.0,120.0,125.0,131.0,142.0,146.0,147.0,147.0,148.0,150.0,150.0
God Is An Astronaut,0.0,0.0,1.0,16.0,19.0,23.0,58.0,59.0,59.0,70.0,75.0,75.0,75.0
Gojira,0.0,0.0,3.0,5.0,8.0,29.0,39.0,39.0,39.0,41.0,74.0,119.0,119.0
Good Charlotte,20.0,21.0,61.0,83.0,83.0,87.0,125.0,142.0,154.0,163.0,188.0,188.0,188.0
Gorilla,1.0,4.0,10.0,26.0,26.0,26.0,27.0,27.0,58.0,72.0,114.0,134.0,134.0
Green Carnation,0.0,46.0,116.0,164.0,166.0,248.0,282.0,303.0,309.0,312.0,326.0,330.0,330.0
Green Day,39.0,93.0,219.0,562.0,571.0,584.0,602.0,619.0,639.0,645.0,654.0,656.0,656.0
Greta Van Fleet,0.0,0.0,0.0,1.0,28.0,55.0,60.0,62.0,62.0,62.0,65.0,65.0,65.0
Guns N' Roses,4.0,81.0,133.0,275.0,276.0,326.0,347.0,358.0,377.0,416.0,518.0,548.0,549.0
Gustavo Cerati,13.0,406.0,428.0,513.0,557.0,582.0,582.0,585.0,591.0,625.0,626.0,631.0,631.0
