genre,artist,play_count,total_minutes
Other,Active Bird Community,5,10.2
Other,Adam Lambert,9,27.9
Other,Adam Levine,42,162.8
Other,Adara,16,30.8
Other,Adele,70,248.4
Other,Adelitas Way,15,26.2
Other,Adicta,5,11.4
Other,Adrenaline Mob,82,76.8
Other,Aeon en,257,454.6
Other,Aerosmith,312,1079.2
Other,Aesthetic Perfection,6,20.6
Other,After Forever,17,27.0
Other,Agent Fresco,51,142.2
Other,Agnes Obel,15,35.3
Other,Air,7,22.7
Other,Air Formation,27,46.9
Other,Airbag,235,1222.5
Other,Aitana,7,20.9
Other,Akon,9,25.3
Other,Akord,8,19.0
Other,Alan Silvestri,98,255.3
Other,Alanis Morissette,15,41.2
Other,Alcest,36,195.5
Other,Alec Benjamin,55,124.3
Other,Alejandro San,21,84.0
Other,Alessia Cara,14,29.8
Other,Alex Turner,107,215.3
Other,Alexander Scriabin,12,41.0
Other,Alexandre Desplat,23,55.2
Other,Alfie Arcuri,34,63.2
Other,Alfredo Casero,7,14.0
Other,Alice Cooper,27,51.6
Other,Alice In Chains,190,627.1
Other,Alice Kristiansen,13,19.5
Other,Alicia Keys,24,56.0
Other,Alien Ant Farm,22,55.2
Other,Alkaline Trio,51,72.4
Other,All That Remains,20,39.6
Other,All Time Low,31,76.1
Other,Allie X,15,29.1
Other,Almafuerte,8,10.3
Other,Almendra,26,42.4
Other,Alphaville,13,38.2
Other,Alter Bridge,299,956.3
Other,Altered Images,12,26.0
Other,Alx Child,6,15.1
Other,Amaranthe,20,39.5
Other,Amber Run,28,70.4
Other,American Authors,6,7.7
Other,Amon Amarth,17,31.4
Other,Amorphis,33,108.4
Other,Amplifier,35,117.1
Other,Amy Lee,10,16.6
Other,Amy Winehouse,104,367.3
Other,An Endless Sporadic,7,2.8
Other,Anathema,501,1295.4
Other,Anberlin,69,148.3
Other,Andrea Bocelli,5,13.2
Other,Andreas Johnson,5,7.0
Other,Andrew Latimer,5,19.0
Other,Andrés Calamaro,646,2270.0
Other,Andy Grammer,6,10.3
Other,Andy James,6,7.8
Other,Andy Timmons,5,25.7
Other,Anekdoten,19,60.1
Other,Anette Olon,13,14.7
Other,Angel Vivaldi,6,14.2
Other,Angels & Airwaves,119,401.3
Other,Angèle,18,27.7
Other,Animals As Leaders,42,90.9
Other,Anneke Van Giersbergen,9,22.0
Other,Annie Lennox,6,23.1
Other,Anson Seabra,17,54.2
Other,Anthrax,11,15.2
Other,Anti-Flag,16,18.9
Other,Antimatter,116,350.5
Other,Antonio Lauro,6,8.9
Other,Antonio Soler,10,41.9
Other,Antonio Vivaldi,192,372.3
Other,Aphex Twin,5,16.4
Other,Apocalyptica,253,534.9
Other,April Rain,55,158.4
Other,Aqua,6,17.7
Other,Aram Mandossian,6,17.6
Other,Aranda,6,12.3
Other,Arbolito,6,7.8
Other,Arcade Fire,22,54.8
Other,Arcane,6,14.7
Other,Arcane Roots,10,22.4
Other,Arch Echo,5,18.6
Other,Arch Enemy,38,85.6
Other,Architects,46,56.4
Other,Archive,28,73.8
Other,Arctic Monkeys,1102,2750.6
Other,Arde la Sangre,61,183.6
Other,Arena,26,77.6
Other,Aretha Franklin,8,13.6
Other,Ari Koivunen,13,54.6
Other,Ariana Grande,1014,2310.5
Other,Armen Hambar,7,18.4
Other,Art Of Dying,10,32.3
Other,Artifex Pereo,15,39.4
Other,As Tall As Lions,18,60.5
Other,Ashbury Heights,8,31.3
Other,Ashe,89,207.9
Other,Ashes Of Soma,16,10.6
Other,Asia,12,31.5
Other,Asking Alexandria,10,9.5
Other,Askjell,14,40.9
Other,Asspera,14,10.4
Other,Astor Piaolla,118,483.3
Other,Astrid S,10,25.3
Other,At The Gates,8,12.6
Other,At Vance,18,24.6
Other,Aterciopelados,5,12.1
Other,Atomic Kitten,8,21.2
Other,Atreyu,8,14.0
Other,Attaque 77,122,178.0
Other,Au/Ra,5,8.6
Other,Audio,6,21.3
Other,Audioslave,1064,3587.9
Other,Auri,16,54.0
Other,Author,19,59.8
Other,Automatic Loveletter,178,259.4
Other,Avantasia,94,262.8
Other,Avenged Sevenfold,1280,5352.3
Other,Avicii,52,203.2
Other,Avril Lavigne,34,74.6
